[22:06:12] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[22:06:16] [ServerMain/INFO]: Loaded 7 recipes
[22:06:17] [ServerMain/INFO]: Loaded 1271 advancements
[22:06:18] [Server thread/INFO]: Starting minecraft server version 1.20.1
[22:06:18] [Server thread/INFO]: Loading properties
[22:06:18] [Server thread/INFO]: Default game type: SURVIVAL
[22:06:18] [Server thread/INFO]: Generating keypair
[22:06:18] [Server thread/INFO]: Starting Minecraft server on *:25565
[22:06:18] [Server thread/INFO]: Using epoll channel type
[22:06:18] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[22:06:18] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[22:06:18] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[22:06:18] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[22:06:18] [Server thread/INFO]: Preparing level "world"
[22:06:28] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[22:06:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:06:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:06:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:06:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:06:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:06:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:06:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:06:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:06:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:06:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:06:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:06:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:06:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:06:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:06:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:06:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:06:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:06:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:06:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:06:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:06:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:06:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:06:39] [Worker-Main-1/INFO]: Preparing spawn area: 55%
[22:06:39] [Worker-Main-1/INFO]: Preparing spawn area: 58%
[22:06:40] [Worker-Main-1/INFO]: Preparing spawn area: 59%
[22:06:40] [Worker-Main-1/INFO]: Preparing spawn area: 64%
[22:06:41] [Worker-Main-1/INFO]: Preparing spawn area: 67%
[22:06:41] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[22:06:42] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[22:06:42] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[22:06:43] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[22:06:43] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[22:06:44] [Worker-Main-1/INFO]: Preparing spawn area: 69%
[22:06:44] [Worker-Main-1/INFO]: Preparing spawn area: 69%
[22:06:45] [Worker-Main-1/INFO]: Preparing spawn area: 70%
[22:06:45] [Worker-Main-1/INFO]: Preparing spawn area: 71%
[22:06:46] [Worker-Main-1/INFO]: Preparing spawn area: 71%
[22:06:46] [Worker-Main-1/INFO]: Preparing spawn area: 71%
[22:06:47] [Worker-Main-1/INFO]: Preparing spawn area: 72%
[22:06:47] [Worker-Main-1/INFO]: Preparing spawn area: 72%
[22:06:48] [Worker-Main-1/INFO]: Preparing spawn area: 73%
[22:06:48] [Worker-Main-1/INFO]: Preparing spawn area: 74%
[22:06:49] [Worker-Main-1/INFO]: Preparing spawn area: 74%
[22:06:49] [Worker-Main-1/INFO]: Preparing spawn area: 75%
[22:06:50] [Worker-Main-1/INFO]: Preparing spawn area: 77%
[22:06:50] [Worker-Main-1/INFO]: Preparing spawn area: 77%
[22:06:51] [Worker-Main-1/INFO]: Preparing spawn area: 79%
[22:06:51] [Worker-Main-1/INFO]: Preparing spawn area: 80%
[22:06:52] [Worker-Main-1/INFO]: Preparing spawn area: 82%
[22:06:52] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[22:06:53] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[22:06:53] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[22:06:54] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[22:06:54] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[22:06:55] [Worker-Main-1/INFO]: Preparing spawn area: 84%
[22:06:55] [Worker-Main-1/INFO]: Preparing spawn area: 84%
[22:06:56] [Worker-Main-1/INFO]: Preparing spawn area: 84%
[22:06:56] [Worker-Main-1/INFO]: Preparing spawn area: 84%
[22:06:57] [Worker-Main-1/INFO]: Preparing spawn area: 85%
[22:06:57] [Worker-Main-1/INFO]: Preparing spawn area: 86%
[22:06:58] [Worker-Main-1/INFO]: Preparing spawn area: 86%
[22:06:58] [Worker-Main-1/INFO]: Preparing spawn area: 86%
[22:06:59] [Worker-Main-1/INFO]: Preparing spawn area: 86%
[22:06:59] [Worker-Main-1/INFO]: Preparing spawn area: 86%
[22:07:00] [Worker-Main-1/INFO]: Preparing spawn area: 87%
[22:07:00] [Worker-Main-1/INFO]: Preparing spawn area: 88%
[22:07:01] [Worker-Main-1/INFO]: Preparing spawn area: 88%
[22:07:01] [Worker-Main-1/INFO]: Preparing spawn area: 89%
[22:07:02] [Worker-Main-1/INFO]: Preparing spawn area: 90%
[22:07:02] [Worker-Main-1/INFO]: Preparing spawn area: 91%
[22:07:03] [Worker-Main-1/INFO]: Preparing spawn area: 92%
[22:07:03] [Worker-Main-1/INFO]: Preparing spawn area: 93%
